"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.490625000E-3,5.376427084E-1,3.819570833E-1,-4.891131574E-1
2.338862500E-2,-2.738525909E-1,6.476118779E-1,-1.737586670E0
4.328662500E-2,-6.081981361E-2,7.717891967E-1,-2.310017388E0
6.318462500E-2,7.088026974E-1,8.989930344E-1,-2.075050535E0
8.308262500E-2,1.457201862E0,3.219634813E-1,-3.288596874E-1
1.029806250E-1,3.592795345E-1,5.562807083E-1,2.212106931E0
1.228786250E-1,8.451378393E-1,2.124895710E-1,2.817601315E0
1.427766250E-1,4.202317876E-1,-2.506137094E-1,5.027699143E-1
1.626736250E-1,-1.425859178E0,-6.150101423E-3,-2.039271423E0
1.825716250E-1,1.003439728E0,2.452523974E-1,-3.954471946E-1
2.024696250E-1,3.620756000E-1,7.368281096E-1,4.896574162E0
2.223676250E-1,3.491868018E0,-6.646629435E-1,4.961219224E0
2.422656250E-1,1.877880669E0,-1.715753459E0,8.972347766E-1
2.621636250E-1,-3.827093276E-1,-2.156385013E0,-2.965228307E-1
2.820616250E-1,-1.979423416E0,-2.398472897E0,-1.877540946E-1
3.019596250E-1,6.303387643E-1,-2.107149410E-1,1.773460507E-3
3.218576250E-1,1.590528319E0,-1.234634323E0,1.808818620E-1
3.417556250E-1,1.144595826E0,-2.181696147E0,1.735416183E0
3.616536250E-1,-3.532612878E-1,-2.714802001E0,3.547860078E0
3.815516250E-1,1.086279790E0,-3.346918173E0,1.844515872E0
4.014496250E-1,7.755779001E-1,-1.187530030E0,-5.935876983E-1
4.213476250E-1,1.344149894E0,-7.906286332E-1,-1.918218856E0
4.412456250E-1,6.943258685E-1,-1.629738870E0,1.821021760E-1
4.611436250E-1,1.357106593E-1,-3.187622477E0,1.881001328E0
4.810416250E-1,6.325284004E-2,-3.439802363E0,-8.812981904E-2
5.009396250E-1,-6.493429461E-1,-7.175030619E-1,-1.868081905E0
5.208376250E-1,-1.743140355E0,1.281909646E0,-3.647773790E0
5.407356250E-1,-1.458289737E-1,-2.167820120E-1,-2.280957896E0
5.606326250E-1,9.600251019E-1,-2.625253063E0,2.558652107E0
5.805306250E-1,3.667180699E-1,-4.299453576E0,3.052757617E0
6.004286250E-1,-1.602732920E0,-3.254639754E0,1.810335973E0
6.203266250E-1,-3.098975764E0,-5.376836389E-1,7.228120413E-1
6.402246250E-1,-2.351929060E0,-4.573259389E-1,1.748185333E0
6.601226250E-1,-1.529888892E-1,-3.117383384E0,3.344302713E0
6.800206250E-1,1.409790591E0,-3.691232636E0,3.429565058E0
6.999186250E-1,1.089036899E0,-2.772856666E0,2.928787290E0
7.198166250E-1,-6.383463800E-1,-2.692730516E0,2.509044330E0
7.397146250E-1,-1.828352998E0,-3.053462207E0,1.593744726E0
7.596126250E-1,-1.391125694E0,-3.003736315E0,6.521936099E-1
7.795106250E-1,1.877845001E-1,-2.812967396E0,1.914678074E0
7.994086250E-1,1.163541536E0,-2.158225424E0,3.887404017E-1
8.193066250E-1,6.999029428E-1,-2.483927615E0,1.179337789E0
8.392046250E-1,8.581145650E-1,-2.393122110E0,1.804725569E0
8.591026250E-1,1.146008660E0,-1.321141539E0,5.180972207E-1
8.790006250E-1,4.212166926E0,-1.402379245E0,-2.190993805E0
8.988986250E-1,3.596671464E0,-1.424741921E0,-4.653330795E-1
9.187966250E-1,4.878768221E0,-3.748983246E-1,1.634951663E-1
9.386946250E-1,4.918321711E0,1.507771214E0,-3.191785256E-1
9.585926250E-1,5.492873214E0,1.453366966E0,-3.803504147E-2
9.784898333E-1,5.085997637E0,4.609553057E-1,2.497205472E-1
9.983878333E-1,3.424702513E0,-3.104871511E-1,6.062802494E-1
1.018285833E0,2.245827239E0,-3.308518338E-1,3.332843486E-1
1.038183833E0,1.238426242E0,-1.255572617E-2,6.106225379E-1
1.058081833E0,3.479093313E-4,5.384700894E-3,3.952693661E-1
1.077979833E0,-8.807865590E-1,-3.705994517E-1,3.997095955E-1
1.097877833E0,-1.013310193E0,-4.915473533E-1,1.159415156E0
1.117775833E0,2.501497328E-2,-1.239795075E0,1.316188655E0
1.137673833E0,1.370311360E0,-5.413258696E-1,8.139509837E-1
1.157571833E0,1.165578121E0,2.360160186E0,2.112698564E0
