Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1.500113700E-1,-7.933235168E-2,7.802009583E-2,-5.908650160E-2
1.692791820E-1,-1.313996315E-1,-4.568099976E-2,-7.364541292E-2
1.885484530E-1,-1.399645805E-1,-1.004629135E-1,-8.260005713E-2
2.078154850E-1,-5.369043350E-2,4.679012299E-2,-1.985454559E-2
2.270836100E-1,2.992916107E-2,1.453990936E-1,-7.632255554E-2
2.463528280E-1,1.535558701E-2,1.733016968E-1,-1.087467670E-1
2.656198600E-1,-3.544092178E-2,1.502885818E-1,-2.191198468E-1
2.848890780E-1,-6.346845627E-2,1.326856613E-1,-1.226332188E-1
3.041561100E-1,-1.721835136E-1,3.969669342E-2,2.616286278E-2
3.234242350E-1,-1.825671196E-1,-1.232128143E-1,1.711695194E-1
3.426923070E-1,5.369853973E-2,-5.547924042E-1,4.217291474E-1
3.619604850E-1,7.061100006E-2,-6.231436729E-1,3.447389603E-1
3.812286100E-1,-8.433341980E-2,-9.261636734E-1,5.259518027E-1
4.004966820E-1,8.780002594E-3,-1.420449257E0,6.169939637E-1
4.197648600E-1,-8.787946701E-1,-1.447972775E0,8.246344328E-2
4.390340260E-1,-8.305163383E-1,-1.682637691E0,-3.681182563E-1
4.583020990E-1,1.344194412E0,-2.929652691E0,-1.244921207E0
4.775691820E-1,-1.636281252E0,-7.953605652E-1,-9.623622298E-1
4.968373070E-1,-1.450537920E0,5.476636887E-1,-2.672469616E-2
5.161054320E-1,-1.287972927E-1,1.329152107E0,-1.059094667E-1
5.353735050E-1,-5.798182487E-1,1.809664726E0,-2.274804115E-1
5.546416820E-1,-7.088241577E-1,2.061265945E0,4.943799973E-2
5.739097550E-1,2.792360783E-1,2.983514786E0,8.949152231E-1
5.931778280E-1,3.853702545E-1,3.436573029E0,1.649241924E0
6.124459530E-1,1.338644743E0,3.126797676E0,1.435830116E0
6.317140780E-1,1.220124722E0,1.944948196E0,1.553948879E0
6.509822030E-1,6.372454166E-1,6.552972794E-1,7.395975590E-1
6.702514220E-1,-1.619577408E-3,-6.082487106E-1,3.157451153E-1
6.895184010E-1,3.853199482E-1,-1.862972736E0,7.185010910E-1
7.087867870E-1,-1.443030834E-1,-2.007104397E0,5.792236328E-2
