Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1.500113700E-1,3.298575059E-2,2.115058713E-2,-1.580567285E-2
1.692791820E-1,5.008947477E-2,3.825430945E-2,-1.275143679E-2
1.885484530E-1,5.925218388E-2,4.008685052E-2,-1.214058883E-2
2.078154850E-1,7.269082218E-2,4.130854458E-2,-1.458397787E-2
2.270836100E-1,6.474980712E-2,3.581092134E-2,-1.641651988E-2
2.463528280E-1,5.741964281E-2,4.802786559E-2,-1.885990985E-2
2.656198600E-1,3.787253052E-2,4.924955964E-2,-1.702736691E-2
2.848890780E-1,2.260134928E-2,1.198787708E-2,-1.519482583E-2
3.041561100E-1,3.420744836E-2,-4.359922186E-2,-3.474193811E-2
3.234242350E-1,3.726168349E-2,-1.327829212E-1,-8.971819282E-2
3.426923070E-1,0.000000000E0,-3.197021782E-1,-2.247154415E-1
3.619604850E-1,-1.160609797E-1,-5.609868765E-1,-3.762055635E-1
3.812286100E-1,-2.064663768E-1,-8.523610234E-1,-5.386909246E-1
4.004966820E-1,-3.255815804E-1,-1.183440208E0,-7.567633986E-1
4.197648600E-1,-4.489727318E-1,-1.195657134E0,-8.453362584E-1
4.390340260E-1,-5.198310018E-1,-9.079480767E-1,-9.998806119E-1
4.583020990E-1,-7.922688723E-1,-7.766159177E-1,-1.340122581E0
4.775691820E-1,-1.091584086E0,-3.685699701E-1,-8.636616468E-1
4.968373070E-1,-1.042105436E0,3.192440569E-1,-4.238516390E-1
5.161054320E-1,-1.085475564E0,5.006656647E-1,-2.509818673E-1
5.353735050E-1,-1.356691718E0,5.825192332E-1,-2.985516004E-2
5.546416820E-1,-1.464811683E0,7.718818784E-1,1.766112149E-1
5.739097550E-1,-1.152668834E0,8.836669326E-1,1.613400280E-1
5.931778280E-1,-6.713211536E-1,8.219713569E-1,1.546207070E-1
6.124459530E-1,-4.709632397E-1,7.969266176E-1,2.780118585E-1
6.317140780E-1,-4.611896873E-1,6.136724353E-1,5.162422657E-1
6.509822030E-1,-4.343124032E-1,4.988331497E-1,5.565581918E-1
6.702514220E-1,-2.797680497E-1,6.307761669E-1,3.891860545E-1
6.895184010E-1,-2.113531530E-1,6.784222126E-1,1.448471546E-1
7.087867870E-1,-9.101624042E-2,8.659523726E-1,6.421531737E-2
7.280545990E-1,-8.857285231E-2,8.280798197E-1,-5.184566230E-2
7.473237660E-1,3.054236295E-3,9.460496902E-1,-1.795127392E-1
7.665907970E-1,5.070032179E-2,8.421292901E-1,-2.851893008E-1
7.858589220E-1,1.447708011E-1,6.833090186E-1,-4.098021686E-1
8.051270470E-1,3.103103936E-1,5.477009416E-1,-4.501180649E-1
8.243962140E-1,2.870981991E-1,2.245627195E-1,-3.975852132E-1
8.436643390E-1,1.783674061E-1,-2.061609412E-3,-1.850103587E-1
8.629313180E-1,1.111742035E-1,-9.429954737E-2,-2.977880416E-3
8.821993910E-1,1.808107942E-1,1.565296017E-2,1.130831018E-1
9.014398070E-1,2.186833173E-1,6.940752268E-2,1.802763045E-1
9.207355890E-1,2.034121305E-1,1.402658075E-1,2.468586415E-1
9.400037140E-1,-4.092676565E-2,5.183802843E-1,1.271325797E-1
9.592717870E-1,-1.015838981E0,2.620992899E0,-3.163425326E-1
9.785399120E-1,-1.695101142E0,4.473158360E0,-6.406260282E-2
9.978080370E-1,-5.314370990E-2,1.975938201E0,1.081963181E-1
1.017077255E0,6.206207871E-1,-7.637881637E-1,-7.689040154E-2
1.036345328E0,3.512371778E-1,6.940752268E-2,-2.748049200E-1
1.055612047E0,2.944283783E-1,6.381063461E-1,-4.024719894E-1
1.074879860E0,3.781144619E-1,6.515449286E-1,-3.566584289E-1
1.094147985E0,2.724378705E-1,8.671740294E-1,-2.949628830E-1
1.113417985E0,5.558710173E-2,9.184852242E-1,-7.566870749E-2
1.132686057E0,-2.742704153E-1,2.746522129E-1,2.212030590E-1
1.151952828E0,-3.298575059E-2,-9.568158984E-1,5.828246474E-1
1.171220953E0,5.986303091E-1,-1.901872993E0,5.730510950E-1
1.190488974E0,5.051707029E-1,-1.516351938E0,4.222481698E-2
1.209757099E0,2.822114229E-1,-7.961630225E-1,-6.474217176E-1
1.229025172E0,2.706053257E-1,-1.074098587E0,-7.848623991E-1
1.248293037E0,4.801259339E-1,-2.418038845E0,-5.399126410E-1
1.267561318E0,9.358180165E-1,-2.204853296E0,-1.178171635E-1
1.286830328E0,9.327637553E-1,-1.059056446E-1,3.659738600E-1
1.306056526E0,8.832851648E-1,-9.613208473E-2,4.991385639E-1
1.325365589E0,8.545753360E-1,-1.159006357E0,9.414683282E-2
1.344633714E0,6.041279435E-1,-1.352644920E0,-4.800495803E-1
1.363901839E0,5.711421967E-1,-1.388684869E0,-6.987329125E-1
1.383169912E0,7.085828185E-1,-1.390517473E0,-3.762055635E-1
