"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.266404167E-2,-5.894371271E-1,-9.985524416E-1,-7.630968690E-1
3.256004167E-2,-1.228066802E0,-1.347794771E0,-9.391176105E-1
5.245604167E-2,-1.747456670E0,-1.646871209E0,-1.050835013E0
7.235104167E-2,-1.600031137E0,-2.364980936E0,-1.214446783E0
9.224704167E-2,-1.324148297E0,-3.133295298E0,-1.541072369E0
1.121430417E-1,-1.245708942E0,-3.137317657E0,-1.779261112E0
1.320390417E-1,-1.205619812E0,-2.799434662E0,-1.770416617E0
1.519350417E-1,-1.212726235E0,-2.708202362E0,-1.601160049E0
1.718300417E-1,-1.171364427E0,-2.838783503E0,-1.512687564E0
1.917260417E-1,-9.559321404E-1,-2.420441151E0,-1.775560141E0
2.116220417E-1,-3.273984492E-1,-1.628420472E0,-2.089561224E0
2.315180417E-1,2.938566804E-1,-1.133906364E0,-1.905848980E0
2.514140417E-1,7.763326168E-1,-7.526648641E-1,-1.700034142E0
2.713090417E-1,1.399643898E0,-2.315100878E-1,-1.865303636E0
2.912050417E-1,2.061485052E0,4.278156459E-1,-2.274132013E0
3.111010417E-1,1.840279698E0,-9.072146565E-2,-2.203855276E0
3.309970417E-1,1.170829535E0,-7.530208230E-1,-1.921975255E0
3.508930417E-1,2.452721447E-1,-1.241067052E0,-1.972773314E0
3.707880417E-1,-8.376294374E-1,-2.106871367E0,-2.148530483E0
3.906840417E-1,-1.731188416E0,-2.935776949E0,-2.217847109E0
4.105800417E-1,-2.007740021E0,-3.179126501E0,-2.234236002E0
4.304760417E-1,-1.350872517E0,-2.101217985E0,-2.014206171E0
4.503720417E-1,-1.195256829E0,1.021137714E0,-2.654068947E0
4.702670417E-1,-1.018222570E0,1.165239573E0,-3.055074692E0
4.901630417E-1,-1.102850512E-1,1.158077478E0,-3.059758663E0
5.100590417E-1,4.711676538E-1,2.082355469E-1,-2.940332174E0
5.299550417E-1,3.981527388E-1,-1.623423815E0,-3.071196318E0
5.498510417E-1,2.561346292E-1,-1.711972356E0,-2.835174322E0
5.697460417E-1,3.634135425E-1,-8.999157548E-1,-2.337676764E0
5.896420417E-1,1.815568209E-1,-8.408154845E-1,-2.160822392E0
6.095380417E-1,-2.826689482E-1,-9.255989790E-1,-2.246845245E0
6.294340417E-1,-7.412453294E-1,-4.778445065E-1,-2.861419439E0
6.493300417E-1,-1.071760416E0,-1.009010434E0,-3.398715496E0
6.692250417E-1,-1.118556023E0,-1.004497409E0,-3.239951849E0
6.891210417E-1,-7.988042235E-1,-3.381358683E-1,-2.728523970E0
7.090170417E-1,-3.193871975E-1,6.745764613E-2,-2.202706814E0
7.289130417E-1,2.550831065E-2,4.553419352E-2,-1.808675766E0
7.488090417E-1,2.488332614E-2,-4.772164822E-1,-1.746246099E0
7.687040417E-1,-2.506141663E-1,-8.686413169E-1,-1.825893641E0
7.885660417E-1,-6.129465699E-1,-7.346677780E-1,-1.702172279E0
8.084620417E-1,-8.559488654E-1,-5.115485787E-1,-1.368418813E0
8.283570417E-1,-7.602548003E-1,-4.718539715E-1,-1.211724043E0
8.482530417E-1,-9.736958742E-1,-2.704307437E-1,-1.723841310E0
8.681490417E-1,-6.693406105E-1,-1.248160079E-1,-1.154400468E0
8.880450417E-1,-7.768434286E-1,-4.216978848E-1,-1.333965063E0
9.079410417E-1,-8.126196861E-1,-1.003369927E0,-1.326660633E0
9.278370417E-1,-6.203290820E-1,-1.341758609E0,-1.168606281E0
9.477320417E-1,-3.156862855E-1,-1.714692950E0,-8.972113132E-1
9.676278333E-1,2.586829364E-1,-2.237769365E0,-7.389984727E-1
9.875238333E-1,4.854282737E-1,-2.548365355E0,-1.126842499E0
1.007419833E0,1.438507140E-1,-2.166196346E0,-1.632543564E0
1.027315833E0,-9.509884566E-2,-1.915896773E0,-1.904979467E0
1.047211833E0,-1.058858410E-1,-2.740020990E0,-1.685563087E0
1.067106833E0,-4.668208361E-1,-3.161588430E0,-1.426809788E0
1.087002833E0,-2.271450013E-1,-3.510440826E0,-1.715046406E0
1.106898833E0,4.312619865E-1,-3.644165039E0,-2.287331581E0
1.126794833E0,5.352554917E-1,-4.089722633E0,-2.355985641E0
1.146690833E0,2.090929449E-1,-4.346437931E0,-2.252688885E0
1.166586833E0,-6.688068807E-2,-4.278457165E0,-2.292154789E0
1.186481833E0,-3.978818059E-1,-4.257513523E0,-2.431790829E0
1.206377833E0,-2.037874162E-1,-3.736911535E0,-2.358305693E0
1.226273833E0,3.932822645E-1,-2.593159914E0,-1.827816248E0
1.246169833E0,6.687522531E-1,-2.018017769E0,-1.462089300E0
1.266065833E0,3.801858723E-1,-2.209741116E0,-1.534537077E0
1.285961833E0,-2.794146836E-1,-2.419925928E0,-1.777249932E0
1.305857833E0,-7.205310464E-1,-2.339615822E0,-1.980840564E0
1.325752833E0,-6.597164869E-1,-1.792797089E0,-1.912033319E0
1.345648833E0,-2.553118169E-1,-1.252246380E0,-1.477226138E0
1.365544833E0,-2.059228905E-2,-1.128524780E0,-1.156097174E0
1.385440833E0,-1.099409610E-1,-1.397696733E0,-1.118628383E0
1.405336833E0,-3.699805140E-1,-1.562485933E0,-1.112562895E0
1.425232833E0,-7.495653629E-1,-1.654356480E0,-1.107792377E0
1.445128833E0,-1.106609464E0,-1.767260551E0,-1.162968040E0
1.465023833E0,-1.253659368E0,-1.832525730E0,-1.026525021E0
1.484919833E0,-9.907343984E-1,-1.723939538E0,-6.193848252E-1
1.504815833E0,-5.688728690E-1,-1.475405812E0,-2.802600563E-1
1.524711833E0,-1.458771154E-2,-1.313205719E0,-6.757255644E-2
1.544607833E0,5.759158134E-1,-1.066438317E0,-1.697780192E-2
1.564503833E0,1.003465533E0,-9.377096295E-1,7.242849562E-3
1.584399833E0,1.284151554E0,-7.952585220E-1,3.105388284E-1
1.604295833E0,1.557822108E0,-7.016618848E-1,7.305599451E-1
1.624190833E0,1.822614551E0,-7.975415587E-1,1.142135859E0
1.644086833E0,1.674355626E0,-1.066522121E0,1.309014201E0
1.663982833E0,1.327214003E0,-1.126992226E0,1.313336134E0
1.683878833E0,9.808505177E-1,-8.026528955E-1,1.358355403E0
1.703774833E0,8.240368962E-1,-4.293308258E-1,1.320431352E0
1.723670833E0,8.944807053E-1,-3.991801739E-1,1.028695822E0
1.743566833E0,9.151670933E-1,-9.605918527E-1,9.826915264E-1
1.763462833E0,7.825111151E-1,-8.891633749E-1,9.920192957E-1
1.783357833E0,6.098318100E-1,-4.655852914E-1,1.163437843E0
1.803253833E0,2.418998778E-1,-3.183977008E-1,8.610506058E-1
1.823149833E0,-1.409026504E0,-1.132053375E0,-3.883730769E-1
1.843045833E0,-2.055104494E0,-1.322847009E0,-2.137605101E-1
1.862941833E0,-1.039758444E0,1.782268519E-3,2.534369230E-1
