"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.986683333E-2,-3.715502089E-1,7.719575965E-1,-6.244522262E-1
3.976783333E-2,-8.406541944E-3,1.537438232E0,-2.743262154E-1
5.966854167E-2,6.438287294E-1,1.380787232E0,-9.891863358E-1
7.956954167E-2,3.293482223E-1,1.543408824E0,2.240898621E-1
9.947054167E-2,-4.471114379E-1,7.373982131E-1,1.583783848E0
1.193715417E-1,8.792838246E-1,1.574542909E0,2.547409666E-1
1.392725417E-1,9.056207071E-1,2.762107730E-1,-1.605574082E0
1.591735417E-1,2.726214012E0,-1.441607046E0,-6.252766836E-1
1.790745417E-1,3.297402781E0,1.213981664E0,1.440237043E0
1.989755417E-1,1.755279906E0,6.600901285E-1,-1.159975319E0
2.188765417E-1,1.163653218E0,-1.663842756E-1,-1.995210314E-1
2.387775417E-1,9.268797214E-1,-8.271979970E-1,7.616039318E-1
2.586785417E-1,9.137701178E-1,-1.382012808E0,-1.435491443E-1
2.785795417E-1,-6.831193873E-1,-3.736110601E-1,-5.087416756E-1
2.984805417E-1,-4.715611316E-1,-7.144736195E-1,4.407800728E-1
3.183815417E-1,-3.504414681E-1,-1.448621950E0,-3.128447485E-1
3.382825417E-1,-4.075860143E-2,-1.124916583E0,-3.710508567E-1
3.581835417E-1,8.735433206E-1,-1.251221704E0,-1.412932885E-1
3.780845417E-1,1.274681610E0,-9.793068802E-1,1.503492222E0
3.979855417E-1,1.221913120E0,-1.926885599E-1,-7.034896249E-1
4.178865417E-1,7.248442411E-2,-3.667975920E-1,-2.389426085E0
4.377875417E-1,-9.613243532E-1,-1.369225532E0,-2.789165136E0
4.576885417E-1,-1.941449844E0,-2.164931011E0,-2.452539761E0
4.775895417E-1,-2.121807795E0,-1.549421516E0,-2.352578686E0
4.974905417E-1,-1.012096896E0,-1.570129138E0,-1.135349185E0
5.173915417E-1,-2.524788542E0,-1.347000266E0,5.599515903E-1
5.372925417E-1,-2.368878969E0,-1.209458843E0,2.514826056E-1
5.571925417E-1,-2.246147082E0,-1.668705885E0,-1.065403622E0
5.770935417E-1,-4.157896578E-1,-2.402692832E0,-1.581420111E0
5.969945417E-1,-1.133236586E0,-1.691425826E0,-1.754571954E0
6.168955417E-1,-2.641046977E0,-1.928923938E0,-1.680428967E0
6.367965417E-1,1.559855872E-1,-2.860029296E0,-3.174753632E0
6.566975417E-1,3.993638350E0,-3.368858680E0,-1.832982824E0
6.765985417E-1,3.512531785E0,-2.861712710E0,-6.868826553E-1
6.964995417E-1,2.184433229E0,-1.606399709E0,-1.356221617E0
7.164005417E-1,1.640205386E0,-1.628960313E0,-6.605016263E-1
7.363005417E-1,2.273545380E0,-1.943691081E0,-7.353943723E-1
7.562015417E-1,4.535781076E0,-2.834464100E0,-6.472240613E-1
7.761025417E-1,4.935567489E0,-3.615477279E0,7.230129663E-1
