Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1.573408890E-1,-5.342578888E-2,-3.405761719E-2,1.134002209E-1
1.766079200E-1,-1.134371758E-1,1.887054443E-1,-1.310843229E-1
1.958733890E-1,-3.145742416E-2,-3.671751022E-1,-6.238386631E-1
2.151077640E-1,1.027712822E-1,1.124262810E0,1.184321642E0
2.344064090E-1,2.661042213E-1,2.089586258E-1,1.030986309E-1
2.536729200E-1,2.456064224E-1,-2.711830139E-1,-3.147122860E-1
2.729392220E-1,-2.619552612E-2,1.447086334E-1,5.985083580E-1
2.922070340E-1,-7.910499573E-1,-3.702783585E-1,-1.623787880E-1
3.114450030E-1,-2.500276566E-1,-3.324518204E-1,4.430196285E-1
3.307401590E-1,1.180038452E-1,-4.352807999E-1,3.005630970E-1
3.500055240E-1,2.279911041E-1,-8.650608063E-1,3.528645039E-1
3.692720870E-1,3.003897667E-1,-1.614706039E0,4.154922962E-1
3.885396910E-1,-7.719559669E-1,-1.230731964E0,-6.943407059E-1
4.078051590E-1,-2.508187294E-1,-2.518722534E0,-1.330838561E0
4.270716700E-1,-1.421914101E-1,-1.854690075E0,-1.200714111E-1
4.463382320E-1,3.430366516E-2,-1.752708435E0,1.076734066E-1
4.656050030E-1,-6.367912292E-1,-3.775515556E-1,-4.391531944E-1
4.848712530E-1,-2.821614742E-1,3.074154854E-1,7.681357861E-1
5.041388570E-1,-4.202790260E-1,6.520271301E-2,1.231154203E0
5.234045340E-1,-4.849418163E0,-1.399770737E0,-1.226872206E0
5.426708370E-1,-6.860149384E0,-4.575512886E0,-1.034474134E0
5.618953680E-1,7.573180199E0,1.765635014E0,-3.430701971E0
5.812039090E-1,7.259977341E0,6.338016987E0,3.758605480E0
6.004704200E-1,1.214848280E0,7.056914330E0,6.543133259E0
6.197369820E-1,-1.270129442E0,4.024494171E0,7.140808105E-1
6.390034930E-1,-1.275663376E0,1.443579674E0,1.456218719E0
6.582700030E-1,1.994400024E-1,4.198036194E-1,1.791038513E-1
6.775365660E-1,-7.789134979E-2,1.938114166E-1,4.649844170E-1
6.968030760E-1,-7.584726810E-1,3.898344040E-1,1.298838139E0
7.160707320E-1,-1.364919901E0,6.506094933E-1,1.148632526E0
7.353361490E-1,-1.039323807E0,-3.818516731E-1,1.661906242E-1
7.546038050E-1,9.350264072E-1,-3.396944523E0,-9.122705460E0
7.738692220E-1,1.709451199E0,-5.777096748E0,-5.007759571E0
7.931368780E-1,-3.416835785E0,-3.489747763E0,1.747318649E1
8.123606280E-1,-1.967947125E0,-2.507363319E0,1.745143414E0
8.316691180E-1,2.345993519E-1,-5.844087601E-1,-1.918328762E0
8.509354200E-1,3.152408600E-1,8.018207550E-2,9.940838814E-1
8.702030760E-1,-4.050486088E-1,6.545057297E-1,2.532988071E0
8.894684930E-1,-1.231507301E0,1.347761154E0,2.197622299E0
9.087350550E-1,-1.440018058E0,2.265845776E0,1.410601139E0
9.280015140E-1,1.106543541E-1,4.355628490E0,1.540673733E0
9.472681280E-1,2.099446297E0,5.145919800E0,1.282390118E0
9.665346390E-1,3.737066507E0,3.368221283E0,2.628080845E0
9.858011490E-1,1.395868063E0,2.129527092E0,5.649566650E-2
1.005067712E0,-3.459290743E0,-6.483182907E-1,-2.247933149E0
1.024335368E0,-5.156533241E0,-4.104524612E0,-1.188135386E0
1.043601097E0,-6.246226788E0,-4.681207180E0,-4.697551727E0
1.062829899E0,-3.993060827E0,-4.853034019E-1,-2.124128342E0
1.082133909E0,7.476888657E0,3.547174454E0,4.663247108E0
1.101400212E0,9.708531380E0,3.362985611E0,-1.168922663E0
1.120667816E0,2.183780909E0,4.802980423E-1,-7.486122608E0
1.139933493E0,-3.977441788E0,-9.008440971E-1,-2.054274559E0
1.159200107E0,-4.239787102E0,-2.237351418E0,3.759464979E0
1.178467712E0,-3.613890886E0,-1.743105888E0,7.521986961E-2
1.197733232E0,-2.458250523E0,-4.493598938E-1,-3.331037283E0
