Time (s),X (rad/s),Y (rad/s),Z (rad/s)
0.000000000E0,-4.610505402E-1,-7.231117487E-1,-3.568980098E-1
0.000000000E0,-2.612976134E-1,-9.711230397E-1,-2.102903575E-1
0.000000000E0,1.718058437E-1,-9.863946438E-1,-1.485929638E-1
0.000000000E0,5.578727126E-1,-8.752171993E-1,-8.384125680E-2
0.000000000E0,1.019075990E0,-1.020603061E0,-7.895433158E-2
0.000000000E0,1.534035325E0,-9.191994667E-1,5.345070735E-3
0.000000000E0,1.530981064E0,-4.512766898E-1,3.712533414E-1
0.000000000E0,9.610437751E-1,-4.305072725E-1,4.805982411E-1
0.000000000E0,3.171917796E-1,1.461495161E-1,3.101668358E-1
0.000000000E0,-1.934915632E-1,7.906123400E-1,1.756237634E-2
0.000000000E0,-4.488332272E-1,3.568980098E-1,-4.564690590E-1
0.000000000E0,-1.904372424E-1,-5.606215596E-1,-5.926920176E-1
0.000000000E0,2.872593701E-1,-7.774787545E-1,-2.115120888E-1
0.000000000E0,3.990477324E-1,-8.159632683E-1,8.831584454E-1
0.000000000E0,3.831652105E-1,-1.296103358E0,1.711491704E0
0.000000000E0,7.851145267E-1,-1.693165779E0,2.214844704E0
0.000000000E0,1.242041707E0,-2.064571857E0,2.476905823E0
0.000000000E0,1.128420830E0,-2.467132092E0,2.063961029E0
0.000000000E0,5.713117123E-1,-2.805551291E0,1.435380578E0
0.000000000E0,2.854267955E-1,-2.672382832E0,5.209153295E-1
0.000000000E0,2.115120888E-1,-1.798234582E0,-2.524400651E-1
0.000000000E0,-1.647808999E-1,-8.410087228E-1,-5.230533481E-1
0.000000000E0,-2.698497176E-1,-1.525636017E-1,-2.029599845E-1
0.000000000E0,-3.419318199E-1,2.341141105E-1,1.018617824E-1
0.000000000E0,-7.788531948E-3,4.466952085E-1,-1.174388453E-1
0.000000000E0,2.396118939E-1,6.067419052E-1,-3.184134960E-1
0.000000000E0,3.098613918E-1,6.611089110E-1,-1.919644028E-1
0.000000000E0,5.981897712E-1,9.921978712E-1,4.581489484E-4
0.000000000E0,6.360634565E-1,9.537133574E-1,2.099849284E-1
0.000000000E0,4.185954034E-1,3.972151279E-1,6.094908118E-1
0.000000000E0,2.292271852E-1,-2.916881628E-2,8.330674767E-1
0.000000000E0,6.429356337E-2,-9.086620808E-2,7.567093372E-1
0.000000000E0,-3.955352306E-2,2.084577680E-1,4.488332272E-1
