"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.388062500E-2,3.165499270E-1,-1.099141598E0,-1.249613166E0
3.377962500E-2,2.371900529E-1,-1.630756140E0,-1.577888608E0
5.367962500E-2,-1.138942093E-1,-2.115382433E0,-1.971495032E0
7.357862500E-2,-5.700328946E-1,-2.277928114E0,-1.990553498E0
9.347862500E-2,-7.624790072E-1,-2.135502815E0,-1.805155635E0
1.133776250E-1,-4.778623283E-1,-1.840764046E0,-1.599927068E0
1.332776250E-1,-1.660334766E-1,-1.665028811E0,-1.592337847E0
1.531766250E-1,-1.391453445E-1,-1.401304483E0,-1.729423404E0
1.730766250E-1,-1.686472297E-1,-8.469501734E-1,-1.899189591E0
1.929756250E-1,-3.883190826E-2,-2.711911798E-1,-1.911815763E0
2.128756250E-1,1.269337535E-1,-3.643664718E-1,-1.702711105E0
2.327746250E-1,9.383682907E-2,-1.124935269E0,-1.721460700E0
2.526746250E-1,4.118609056E-2,-1.783632874E0,-1.875533462E0
2.725736250E-1,9.467520751E-3,-2.292603970E0,-2.122047901E0
2.924736250E-1,-9.466300160E-2,-2.394600153E0,-2.474820852E0
3.123726250E-1,-2.333718985E-1,-1.558058023E0,-2.928687334E0
3.322726250E-1,-1.192870513E-1,-1.179456413E-1,-3.493604422E0
3.521716250E-1,3.754923940E-1,8.581556678E-1,-4.019254208E0
3.720716250E-1,7.215343118E-1,6.028606892E-1,-4.215772152E0
3.919706250E-1,4.824457169E-1,-3.658072352E-1,-3.992997885E0
4.118706250E-1,3.355994448E-2,-1.019500136E0,-3.464628696E0
4.317706250E-1,-1.520029008E-1,-1.297724485E0,-2.798636198E0
4.516696250E-1,-6.379549950E-2,-1.259400606E0,-2.262094975E0
4.715696250E-1,1.025978327E-1,-1.373510480E0,-2.085721016E0
4.914686250E-1,4.347582161E-2,-1.285151005E0,-2.002839565E0
5.113686250E-1,2.373214364E-1,-9.172348976E-1,-1.698253751E0
5.312676250E-1,-1.329824515E-2,-8.178186417E-1,-1.361585021E0
5.511676250E-1,-1.464205831E-1,-7.630834579E-1,-1.353217006E0
5.710666250E-1,-2.560784221E-1,-1.266848087E0,-2.091823101E0
5.909666250E-1,8.427564055E-3,-1.580188751E0,-1.938744783E0
6.108656250E-1,-1.570410579E-1,-1.679086089E0,-1.741722345E0
6.307656250E-1,-6.030633450E-1,-1.360501170E0,-1.643232584E0
6.506646250E-1,-2.538720071E-1,-9.328629375E-1,-1.520831347E0
6.705646250E-1,-1.892202348E-1,-1.031627774E0,-1.456619859E0
6.904636250E-1,-8.681622893E-2,-1.162734509E0,-1.365286469E0
7.103636250E-1,-4.777527228E-2,-1.370103359E0,-1.154281497E0
7.302626250E-1,1.914674640E-1,-1.595330834E0,-1.239176035E0
7.501626250E-1,7.417326570E-1,-1.586220741E0,-1.593500853E0
7.700616250E-1,9.690570235E-1,-1.869019985E0,-2.123934746E0
7.899616250E-1,5.479878783E-1,-3.135769367E0,-2.903417826E0
8.098606250E-1,-1.066644117E-1,-4.805236816E0,-3.074500561E0
8.297606250E-1,-1.414955974E0,-5.062460423E0,-2.712165833E0
8.496589167E-1,-1.740233064E0,-4.537933350E0,-2.354337215E0
8.695589167E-1,-1.103235126E0,-3.658226490E0,-1.650437593E0
8.894579167E-1,-1.470296979E-1,-3.966485977E0,-1.240965962E0
9.093579167E-1,5.230518579E-1,-5.252608299E0,-1.307824612E0
9.292569167E-1,5.895606056E-2,-5.551619530E0,-1.442205071E0
9.491569167E-1,-1.215796947E0,-4.729220390E0,-1.665606260E0
9.690559167E-1,-1.525162220E0,-4.188987732E0,-1.704708934E0
9.889559167E-1,-1.231240988E0,-3.949603558E0,-1.276523709E0
1.008854917E0,-1.191688776E0,-3.774808168E0,-7.781201601E-1
1.028754917E0,-1.320374370E0,-3.809995174E0,-7.276311517E-1
1.048653917E0,-1.369649649E0,-3.221118689E0,-1.233134985E0
1.068553917E0,-1.436382294E0,-2.387761593E0,-1.845192552E0
1.088452917E0,-1.549165368E0,-1.731743932E0,-2.121457815E0
1.108352917E0,-1.420858502E0,-1.542978406E0,-1.942668080E0
1.128251917E0,-1.256048679E0,-1.562723756E0,-1.751265168E0
1.148151917E0,-1.147819638E0,-1.268229604E0,-1.853327155E0
1.168050917E0,-1.033352137E0,-8.554044962E-1,-1.985474467E0
1.187950917E0,-9.319863915E-1,-5.847963095E-1,-1.929195404E0
1.207849917E0,-7.676268220E-1,-5.685798526E-1,-1.577852249E0
1.227749917E0,-6.375421286E-1,-8.245823979E-1,-1.368499160E0
1.247648917E0,-5.487830043E-1,-1.220018148E0,-1.055762768E0
1.267548917E0,-6.078407168E-1,-9.505838752E-1,-7.553268075E-1
1.287447917E0,-7.187833786E-1,-9.318315387E-1,-7.153968811E-1
1.307347917E0,-6.525442004E-1,-1.220436692E0,-8.397157788E-1
1.327246917E0,-4.624107480E-1,-1.678443432E0,-8.418312073E-1
1.347146917E0,-2.012913078E-1,-2.063294888E0,-4.945895970E-1
1.367045917E0,2.925495505E-1,-2.036264896E0,2.561798096E-1
1.386945917E0,4.659011364E-1,-2.217199802E0,9.147599936E-1
1.406844917E0,2.375984639E-1,-2.520284891E0,1.036260843E0
1.426744917E0,2.821879089E-1,-2.699659348E0,9.863426089E-1
1.446643917E0,4.604117572E-1,-2.365770340E0,1.148348093E0
1.466543917E0,5.377742052E-1,-1.870121598E0,1.367643118E0
1.486442917E0,6.570857763E-1,-1.946528673E0,1.516446829E0
1.506342917E0,7.509747148E-1,-1.956267476E0,1.499020457E0
1.526241917E0,5.873407125E-1,-1.770638108E0,1.323096991E0
1.546141917E0,-6.567885727E-2,-1.106914163E0,1.049657822E0
1.566040917E0,-8.251523972E-1,-2.925643027E-1,7.538327575E-1
1.585940917E0,-1.106689453E0,3.356069922E-1,2.225940377E-1
1.605839917E0,-1.179959893E0,5.687546730E-1,-3.715372682E-1
1.625739917E0,-1.008302927E0,4.809590876E-1,-7.352074981E-1
1.645638917E0,-1.237899303E0,3.269142807E-1,-7.232159972E-1
1.665538917E0,-1.142170191E0,7.002921700E-1,-3.218416870E-1
1.685437917E0,-4.239954948E-1,6.908912659E-1,4.415964708E-2
1.705337917E0,-1.985312402E-1,5.234904885E-1,1.600831002E-1
1.725236917E0,-4.539892673E-1,3.154160380E-1,1.726924814E-2
1.745136917E0,-4.659475684E-1,1.077948511E-1,-2.833748758E-1
1.765035917E0,-2.366856188E-1,1.401911378E-1,-4.578454792E-1
1.784935917E0,-3.067211807E-1,4.649590552E-1,-3.399091959E-1
1.804834917E0,-3.033487201E-1,7.623485923E-1,-1.183080152E-1
1.824734917E0,-1.433662772E-1,4.787224531E-1,-1.761201769E-1
1.844633875E0,8.893541247E-2,1.602717638E-1,-3.307187855E-1
1.864533875E0,2.852961719E-1,2.056645006E-1,-3.370491862E-1
1.884432875E0,2.860497832E-1,1.637285650E-1,-3.133350313E-1
1.904332875E0,2.308908552E-1,-1.414982975E-2,-3.339822888E-1
1.924231875E0,1.189421937E-1,4.400279745E-2,-3.152184486E-1
1.944131875E0,1.413320750E-1,1.406119913E-1,-2.549974322E-1
1.964030875E0,3.723332882E-1,1.935695410E-1,-2.997723520E-1
1.983930875E0,6.591200829E-1,3.746887743E-1,-2.831550539E-1
2.003829875E0,7.644292712E-1,4.708260596E-1,-1.797436178E-1
2.023729875E0,8.462417126E-1,2.501314282E-1,-3.111374676E-1
2.043628875E0,7.018742561E-1,3.406999707E-1,-3.399930894E-1
2.063528875E0,6.608061790E-1,4.278358519E-1,-4.469797313E-1
2.083427875E0,8.323654532E-1,3.618820906E-1,-6.718640327E-1
2.103327875E0,9.187480211E-1,4.537529051E-1,-8.427320719E-1
2.123226875E0,9.122262597E-1,6.961117387E-1,-8.515293598E-1
2.143126875E0,7.999406457E-1,8.629233837E-1,-9.216929674E-1
2.163025875E0,6.716029644E-1,7.319059372E-1,-9.887489080E-1
2.182925875E0,7.366560698E-1,2.597488463E-1,-9.305190444E-1
2.202824875E0,5.926995277E-1,7.874646783E-2,-6.583567262E-1
2.222724875E0,5.725300908E-1,4.428298175E-1,1.149044186E-1
2.242623875E0,6.997953653E-1,1.705243289E-1,1.866541803E-1
2.262523875E0,7.567295432E-1,-2.767946720E-1,3.737078235E-2
2.282422875E0,4.492461979E-1,-4.507675767E-1,-2.721282244E-1
2.302322875E0,-1.683932990E-1,-7.384905219E-2,-2.935871780E-1
2.322221875E0,-4.929064214E-1,-6.749225408E-2,-2.355488837E-1
2.342121875E0,-3.952035606E-1,-2.762471735E-1,-2.619754374E-1
2.362020875E0,-3.678980768E-1,-2.041003555E-1,-2.773564160E-1
2.381920875E0,-5.868650675E-1,1.049702391E-1,-5.318270326E-1
2.401819875E0,-7.040595412E-1,6.388243437E-1,-9.046459794E-1
2.421719875E0,-4.605302811E-1,1.192780256E0,-6.495467424E-1
2.441618875E0,4.154679365E-3,8.737618923E-1,-5.370182991E-1
2.461518875E0,3.801005185E-1,6.062779427E-1,-7.477942705E-1
2.481417875E0,9.956350923E-1,7.494081259E-1,-8.361586928E-1
2.501317875E0,1.274308443E0,1.100211620E0,-1.149317980E0
2.521216875E0,1.026825786E0,1.178066850E0,-1.229362488E0
2.541116875E0,6.044282317E-1,7.720772624E-1,-1.392979503E0
2.561015875E0,5.788779855E-1,6.921244860E-1,-1.366126895E0
2.580915875E0,7.497072816E-1,9.241008162E-1,-1.185021043E0
2.600814875E0,1.148289442E0,1.204091430E0,-9.570594430E-1
2.620714875E0,1.340677261E0,1.228016734E0,-8.380845785E-1
2.640613875E0,1.010531902E0,1.174852014E0,-7.604504824E-1
2.660513875E0,2.721046209E-1,7.479993701E-1,-6.465700865E-1
2.680412875E0,-5.271646380E-1,-7.037154585E-2,-3.188270628E-1
2.700312875E0,-9.552792907E-1,-3.190070987E-1,-3.966168314E-2
2.720211875E0,-1.046035051E0,-1.458925605E-1,-5.307768658E-2
2.740111875E0,-4.889850914E-1,-4.257392883E-2,-9.089118987E-2
2.760010875E0,2.050628364E-1,3.004165292E-1,-4.208328202E-2
2.779910875E0,4.135560095E-1,3.884443045E-1,6.283717602E-2
2.799809875E0,3.796052337E-1,2.942258418E-1,1.629284322E-1
2.819709875E0,1.877216399E-1,3.123041689E-1,1.400665492E-1
2.839608875E0,1.657599807E-1,3.113009632E-1,-1.762814969E-1
2.859509417E0,2.078259140E-1,-2.540587448E-4,-4.032834172E-1
2.879408417E0,1.601830423E-1,-7.276032865E-2,-5.878586173E-1
2.899308417E0,-3.300382495E-1,1.267701238E-1,1.194850877E-1
2.919207417E0,-5.399699807E-1,1.021760345E0,1.360786557E0
2.939107417E0,-1.114054561E0,6.495167315E-2,4.435682595E-1
2.959006417E0,-7.694450021E-1,-8.930727243E-1,2.916893959E-1
2.978906417E0,-3.448418975E-1,-9.415730834E-1,4.283947945E-1
2.998805417E0,-1.082068756E-1,-6.382545233E-1,6.666913033E-1
3.018705417E0,-6.214262545E-2,-5.835174322E-1,7.022265196E-1
3.038604417E0,1.479223669E-1,-1.612030119E-1,5.871434808E-1
3.058504417E0,3.091129363E-1,9.661318362E-2,1.544014644E-2
3.078403417E0,5.104508400E-1,2.920873761E-1,-7.647352815E-1
3.098303417E0,6.533648372E-1,8.278454840E-2,-1.291254997E0
3.118202417E0,4.476062357E-1,-3.736561164E-2,-1.514631152E0
3.138102417E0,2.240646780E-1,-1.926810741E-1,-1.370793939E0
3.158001417E0,-6.214067340E-2,-3.236348629E-1,-9.248731732E-1
3.177901417E0,-2.736089230E-1,-3.220468760E-1,-2.897853553E-1
3.197800417E0,-2.422288358E-1,-3.352470398E-1,4.542818069E-1
3.217700417E0,-4.195961952E-1,-3.552603424E-1,4.771437645E-1
3.237599417E0,-8.029158711E-1,-5.480697751E-1,-3.189113438E-1
3.257499417E0,-4.281791747E-1,-8.957527280E-1,-6.453087926E-1
3.277398417E0,-8.549656719E-3,-4.551044405E-1,-6.172028780E-1
3.297298417E0,3.501998484E-1,1.914509386E-2,-2.561323345E-1
3.317197417E0,9.941017628E-2,-2.571214139E-1,-3.554023504E-1
3.337097417E0,-3.703667969E-2,-7.953260541E-1,-4.141640663E-1
3.356996417E0,2.571602762E-1,-7.582745552E-1,-2.687905431E-1
3.376896417E0,3.976219594E-1,-3.567271829E-1,-2.901641130E-1
3.396795417E0,4.141696990E-1,2.730883658E-2,4.104513302E-2
3.416695417E0,3.676812351E-1,4.635296389E-2,1.832553893E-1
3.436594417E0,1.977438033E-1,-7.384617627E-2,-2.314559557E-2
3.456494417E0,-1.370306462E-1,2.778875828E-2,5.472483486E-2
3.476393417E0,-5.775162578E-1,9.139395505E-2,-2.378733829E-2
3.496293417E0,-6.607878804E-1,-8.009033799E-1,-7.167516649E-2
3.516192417E0,-2.901910245E-1,-1.980995178E0,6.088897586E-1
3.536091417E0,4.679509252E-2,-1.005609870E0,1.647096723E-1
3.555991417E0,3.982796073E-1,-3.197943568E-1,-5.608053803E-1
3.575890417E0,1.525293827E0,2.076670229E-1,-2.363557816E0
3.595790417E0,9.620593786E-1,-2.647611499E-1,-4.378449440E0
3.615689417E0,4.140912890E-1,-7.202874422E-1,-4.967767239E0
