Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
5.775541666E-3,3.961104150E-1,-1.673209995E-1,-1.732869136E-1
2.567454167E-2,7.769610590E-1,-1.538460910E-1,-6.207345665E-1
4.557454167E-2,3.601134937E-1,7.650496960E-3,-2.073065990E-1
6.547354167E-2,-5.067957222E-2,8.857713103E-2,3.426456678E-1
8.537354167E-2,3.962045552E-1,-3.374118251E-1,8.933832157E-1
1.052725417E-1,9.516964741E-1,-1.121880124E0,1.132775826E0
1.251715417E-1,3.854842700E-1,-9.675580698E-1,9.881133717E-1
1.450715417E-1,-9.129813284E-2,-6.783705711E-1,2.859592509E-1
1.649705417E-1,-1.581814798E0,5.461463141E-1,-2.400303660E0
1.848695417E-1,-2.185502100E0,-3.471234655E-1,-3.048783265E0
2.047695417E-1,-1.386701691E0,-1.465971224E0,-1.237570794E0
2.246685417E-1,-7.370348087E-1,-5.803039938E-1,-4.266491067E-1
2.445675417E-1,-5.517464484E-1,-2.390593189E-1,-7.784825045E-1
2.644669583E-1,5.619744930E0,-1.318455913E0,-1.342127781E0
2.843659583E-1,5.612091510E0,-5.654070425E-1,-1.548298266E0
3.042659583E-1,-4.465871619E-1,2.200693166E-1,-1.117514008E0
3.241649583E-1,-7.389428283E-1,-9.986921543E-1,-9.075726539E-1
3.440639583E-1,1.598220770E0,-1.341997973E0,-1.665577624E0
3.639639583E-1,1.255165358E0,-8.232072723E-1,-4.764106076E0
3.838629583E-1,1.661100558E0,-7.818072313E-1,-3.750566087E0
4.037619583E-1,8.925549576E-1,-2.860326920E0,3.358319659E0
4.236619583E-1,1.544733657E0,-3.179078525E0,2.844586215E0
4.435609583E-1,1.019607206E0,-3.338471285E0,1.597537084E0
4.634599583E-1,1.385582241E0,-1.339178445E0,5.336408740E-1
4.833599583E-1,4.349351960E-1,-3.715794450E-1,-8.384989107E-1
5.032589583E-1,-1.776977608E-1,6.800604165E-2,7.041848588E-1
5.231579583E-1,-5.434592262E-1,-1.203731203E0,1.056724600E0
5.430579583E-1,5.319755870E-1,-1.336218585E0,-1.177577192E0
5.629569583E-1,6.714531688E-1,-1.083412462E0,-5.944735515E-1
5.828559583E-1,1.689237213E-1,-1.024065562E0,9.819305259E-1
6.027559583E-1,-7.686264378E-1,-1.684910858E0,1.307236276E0
6.226549583E-1,-1.061066158E0,-2.313537996E0,-4.153189570E-1
6.425539583E-1,-7.081475168E-1,-2.449667316E0,-4.567622674E-1
6.624539583E-1,1.281171727E-1,-9.384886372E-1,2.200094411E0
6.823529583E-1,6.401210099E-2,-2.668493807E-2,3.192597288E-1
7.022519583E-1,3.017043409E-1,-1.572392303E0,-2.742438866E0
7.221519583E-1,-1.157636140E0,-1.891472230E0,-4.296821160E0
7.420509583E-1,-3.916178530E-1,-2.608939331E0,-4.780759531E0
7.619499583E-1,1.194661879E0,-3.502630695E0,-7.471187999E0
7.818499583E-1,6.526986632E-1,-3.529461814E0,-3.932826138E0
8.017489583E-1,5.544388354E-2,-3.336903939E0,-9.241758227E-2
8.216479583E-1,-7.907710129E-1,-2.460092317E0,9.243722892E-1
8.415479583E-1,-1.202685721E0,-1.956124601E0,1.226517218E0
8.614469583E-1,-1.567183603E0,-2.023345800E0,1.823776383E0
8.813469583E-1,-3.325100457E0,-1.821258279E0,1.440882576E0
9.012459583E-1,-4.665481090E0,-2.056144879E0,9.006846339E-1
9.211449583E-1,-5.911282425E0,-1.131508734E0,1.933285961E0
9.410449583E-1,-5.410870693E0,-2.163449326E-1,3.010509145E0
9.609439583E-1,-3.577986687E0,-4.366800052E-1,2.859398382E0
9.808429583E-1,-3.350853934E0,-3.031564969E-1,1.210277161E0
1.000742958E0,-5.179398721E0,3.190960068E-1,7.357954913E-1
1.020641958E0,-7.278475465E0,2.349432299E0,1.701315807E0
1.040540958E0,-6.627394434E0,2.504522385E0,2.309772974E0
1.060440958E0,-5.231357079E0,1.604788216E0,1.562540914E0
1.080339958E0,-5.819385830E0,1.416092720E0,1.075775414E0
1.100238958E0,-6.595643468E0,7.507982773E-1,2.286884633E0
1.120138958E0,-6.520782736E0,4.037917560E-1,3.110365848E0
1.140037958E0,-5.306166356E0,1.584922886E-1,3.162635863E0
1.159936958E0,-3.622075278E0,-4.551800108E-1,2.450303786E0
1.179836958E0,-2.528631917E0,-8.736126101E-1,1.268351707E0
1.199735958E0,-2.370940112E0,-8.084810597E-1,4.274373114E-2
