"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.299695833E-2,-9.476012304E-2,8.193293989E-2,-2.416192299E-1
3.289595833E-2,-9.526576102E-2,1.535256636E-1,-1.741926473E-1
5.279395833E-2,-1.039265107E-1,1.337176359E-1,-2.499708080E-1
7.269295833E-2,-4.300159335E-2,1.279885340E-1,-3.555750310E-1
9.259195833E-2,3.178635599E-1,9.924946904E-2,-1.871986091E-1
1.124899583E-1,4.513275728E-2,-2.089888430E-1,7.347669661E-2
1.323889583E-1,2.804660842E-1,-8.454489112E-2,2.120902061E-2
1.522869583E-1,6.645594478E-2,3.234159297E-1,-1.887960100E0
1.721859583E-1,-1.185384102E-1,7.142017239E-1,-2.748398933E0
1.920839583E-1,-6.321794678E-1,6.890277064E-1,-1.427443920E0
2.119829583E-1,-1.021501412E0,8.144317710E-1,-8.274716467E-1
2.318809583E-1,-1.334072072E0,1.114599171E0,-4.207399106E-1
2.517799583E-1,-8.783954863E-1,1.226460500E0,4.065066183E-1
2.716789583E-1,-4.554922521E-1,9.277180660E-1,-2.004355359E-1
2.915769583E-1,9.657789083E-1,1.114069998E-2,-3.591757464E-1
3.114759583E-1,1.942211443E0,-5.598650515E-1,4.506250298E-1
3.313739583E-1,1.985268585E0,-5.392977628E-1,2.831303680E-1
3.512729583E-1,1.902508849E0,-3.945607567E-1,5.710841042E-1
3.711709583E-1,1.950240548E0,-5.944922626E-1,1.046057525E0
3.910699583E-1,2.243539224E0,-1.800896228E0,1.085267783E0
4.109679583E-1,1.935755825E0,-3.790907782E0,-1.995356494E-1
4.308669583E-1,1.382961227E0,-2.880455375E0,7.455971789E-1
4.507649583E-1,-1.649324119E-1,-1.650314053E0,2.581922856E0
4.706639583E-1,-6.214993823E-1,-4.522926557E-1,1.029105277E0
4.905626667E-1,-2.532551891E-1,-1.671175164E-1,9.335611886E-1
5.104606667E-1,7.144946694E-2,-2.073428518E-1,9.106441963E-1
5.303596667E-1,1.167700660E-1,-1.056830435E0,1.482517675E0
5.502576667E-1,1.911121505E-1,-1.260279041E0,1.739009882E0
5.701566667E-1,1.979902303E-1,-1.213819989E0,5.667916632E-1
5.900546667E-1,6.781109548E-1,-1.230337204E0,-2.047034186E-1
6.099536667E-1,6.644015729E-1,3.312927139E-1,-1.485203301E0
6.298516667E-1,1.228349735E0,-1.236873221E0,5.285824478E-1
6.497506667E-1,6.767748660E-1,-1.252005231E0,1.492659085E0
6.696486667E-1,3.194374841E-1,-8.733342826E-1,8.245971555E-1
6.895476667E-1,1.430168722E0,-2.542236049E0,2.528848264E0
7.094456667E-1,-7.879473925E-2,-1.335893480E0,-5.029449214E0
7.293446667E-1,4.260257351E0,-3.287763646E0,-5.982674004E0
7.492436667E-1,4.510798262E0,-4.940793146E0,-1.982154066E0
7.691416667E-1,2.940852435E0,-5.304460723E0,-9.044098949E-1
7.890406667E-1,2.677518400E0,-4.986175725E0,-4.404076052E-1
8.089386667E-1,8.472323120E-1,-3.389437371E0,9.591532820E-1
