Time (s),X (rad/s),Y (rad/s),Z (rad/s)
2.103230700E-2,-1.196091533E0,-1.502100110E0,-5.320810795E0
4.088543200E-2,-1.196091533E0,-1.502100110E0,-5.320810795E0
6.073699400E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.059011900E-2,-1.145808622E-1,3.427477479E-1,1.041612476E-1
1.004432440E-1,-3.374943137E-1,3.912329972E-1,-9.923942387E-2
1.202948070E-1,-4.163308442E-1,4.315326512E-1,-1.491209269E-1
1.401479320E-1,-3.881961405E-1,4.352152944E-1,-1.491034776E-1
1.600010570E-1,-3.846705556E-1,4.491953850E-1,-2.389530241E-1
1.798541820E-1,-3.915122449E-1,5.306673646E-1,-3.027971685E-1
1.997057440E-1,-3.316649199E-1,6.438345313E-1,-1.826312542E-1
2.195588690E-1,-2.777342498E-1,7.381870151E-1,-1.207418740E-1
2.394119940E-1,-2.360034138E-1,8.047189713E-1,-6.777113676E-2
2.592635570E-1,-2.187944800E-1,8.799426556E-1,-4.913101718E-2
2.791166820E-1,-2.407856286E-1,9.259669781E-1,-3.455751762E-2
2.989698070E-1,-2.459168881E-1,9.079377055E-1,-1.172512174E-1
3.188213690E-1,-2.402620167E-1,8.841663599E-1,-1.507964432E-1
3.386744940E-1,-2.387261391E-1,8.687551022E-1,-1.214400083E-1
3.585276190E-1,-2.175901979E-1,8.822115660E-1,6.997025013E-2
3.783807440E-1,-2.109230459E-1,8.791397810E-1,1.528559327E-1
3.982323070E-1,-2.092649788E-1,8.714079857E-1,1.955466866E-1
4.180854320E-1,-2.083224952E-1,8.628907800E-1,2.761285305E-1
4.379385570E-1,-2.146231383E-1,8.481078148E-1,3.775321543E-1
4.577901190E-1,-2.164033800E-1,8.297120929E-1,4.724257290E-1
4.776432440E-1,-2.047445774E-1,7.799701691E-1,4.672071934E-1
4.974963690E-1,-1.841147840E-1,7.222346663E-1,4.258079827E-1
5.173494940E-1,-1.520356238E-1,6.509729028E-1,3.037222028E-1
5.372010570E-1,-1.217192635E-1,5.917539001E-1,2.032959461E-1
5.570541820E-1,-9.690067917E-2,5.442809463E-1,1.215447262E-1
5.769073070E-1,-7.431612164E-2,5.094441772E-1,6.691592187E-2
5.967588690E-1,-5.166174471E-2,4.853935242E-1,5.202826485E-2
6.166119940E-1,-3.113667294E-2,4.699648023E-1,6.330309063E-2
6.364651190E-1,-1.776745170E-2,4.553389549E-1,7.550293952E-2
6.563182440E-1,-1.460840553E-2,4.549898803E-1,1.149473861E-1
6.761698070E-1,-2.911209129E-2,4.756720364E-1,2.052856237E-1
6.960229320E-1,-6.129596382E-2,5.508084297E-1,3.517536521E-1
7.158744940E-1,-9.536478668E-2,6.307794452E-1,4.994085133E-1
7.357276190E-1,-1.247910410E-1,7.137523890E-1,6.244788170E-1
7.555807440E-1,-1.621934474E-1,8.074940443E-1,6.874502897E-1
7.754338690E-1,-2.022313029E-1,9.010087848E-1,7.719067931E-1
7.952854320E-1,-2.272069603E-1,9.651147127E-1,9.007295370E-1
8.151385570E-1,-2.545388043E-1,1.026463032E0,1.002098203E0
8.349916820E-1,-3.314729333E-1,1.212986350E0,9.805434346E-1
8.548432440E-1,-4.413937628E-1,1.433613420E0,1.027789474E0
8.746963690E-1,-5.854532719E-1,1.654798985E0,1.215429783E0
8.945494940E-1,-6.919707060E-1,1.762049556E0,1.429669023E0
9.144010570E-1,-8.174074888E-1,1.904904723E0,1.592508197E0
9.342541820E-1,-1.221521020E0,2.343628168E0,2.104587793E0
9.541073070E-1,-1.629125237E0,2.660230875E0,2.654279232E0
9.739588690E-1,-2.136021137E0,2.990080595E0,3.316526890E0
9.938119940E-1,-2.986450434E0,3.323717833E0,4.422838688E0
1.013665119E0,-3.524168730E0,3.361120224E0,4.882034779E0
1.033516682E0,-3.903236866E0,3.300906181E0,5.039812565E0
1.053369807E0,-4.091348648E0,3.192346811E0,4.927413464E0
1.073222932E0,-4.117092133E0,3.073332787E0,4.646974087E0
