"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.299695833E-2,-1.908359677E-1,-1.283877939E-1,1.507461723E-2
3.289595833E-2,-3.033924997E-1,-2.379508018E-1,4.455365241E-2
5.279395833E-2,-3.801063299E-1,-3.079359531E-1,9.128274024E-2
7.269295833E-2,-4.354729354E-1,-2.434227765E-1,1.639161259E-1
9.259195833E-2,-4.425273538E-1,-2.071031481E-1,1.179727986E-1
1.124899583E-1,-3.798876405E-1,-1.704793274E-1,1.087278724E-1
1.323889583E-1,-3.183805346E-1,7.670217752E-2,1.738021225E-1
1.522869583E-1,-1.702263393E-2,1.165351391E0,2.687710822E-1
1.721859583E-1,3.669964373E-1,1.608483195E0,3.457228541E-1
1.920839583E-1,2.735031247E-1,1.678949356E0,3.842906952E-1
2.119829583E-1,-1.787405908E-1,1.425240636E0,4.997754991E-1
2.318809583E-1,-7.137744427E-1,1.171131372E0,8.174605370E-1
2.517799583E-1,-9.611899853E-1,1.076166511E0,1.160646200E0
2.716789583E-1,-9.120411277E-1,1.428580761E0,1.431755066E0
2.915769583E-1,-6.655557752E-1,1.854179740E0,1.386968970E0
3.114759583E-1,-3.064523637E-1,2.169613123E0,1.269577742E0
3.313739583E-1,-5.239300057E-2,2.518585205E0,1.404633284E0
3.512729583E-1,2.864190340E-1,2.343998432E0,1.766048312E0
3.711709583E-1,6.472719908E-1,1.998815656E0,2.022211313E0
3.910699583E-1,1.048862815E0,1.954125047E0,1.873202682E0
4.109679583E-1,8.169633746E-1,2.199705839E0,9.795823693E-1
4.308669583E-1,4.049313962E-1,1.737982392E0,2.459421009E-2
4.507649583E-1,3.524769843E-2,1.437846422E0,-1.646648496E-1
4.706639583E-1,-1.045460254E-1,1.548266888E0,-9.259691834E-2
4.905626667E-1,2.154825628E-1,1.905988336E0,3.002738655E-1
5.104606667E-1,6.884692907E-1,2.209334373E0,5.088570714E-1
5.303596667E-1,9.793652296E-1,1.906848073E0,2.127861828E-1
5.502576667E-1,1.173452258E0,1.769317627E0,-3.003216684E-1
5.701566667E-1,1.084902763E0,1.317379475E0,-6.198661923E-1
5.900546667E-1,1.069935441E0,1.749955304E-2,-6.529091597E-1
6.099536667E-1,4.756426811E-1,3.580861911E-2,-5.909929276E-1
6.298516667E-1,1.378093660E-1,-2.486806363E-1,-4.959430695E-1
6.497506667E-1,1.878794283E-1,-4.078106880E-1,-3.489952981E-1
6.696486667E-1,1.381960064E-1,-3.508501351E-1,-5.438770056E-1
6.895476667E-1,-1.606162637E-1,-5.707013011E-1,-4.503544271E-1
7.094456667E-1,-1.837899685E0,-3.528907001E-1,4.591974244E-2
7.293446667E-1,-3.350518227E0,5.221712589E-1,-2.563771904E-1
7.492436667E-1,-3.760836601E0,7.328180671E-1,-9.003835320E-1
7.691416667E-1,-3.754705191E0,1.257767797E0,-1.673523188E0
7.890406667E-1,-3.672136784E0,1.475440860E0,-2.525869846E0
8.089386667E-1,-3.229396343E0,1.147219181E0,-2.788783789E0
8.288376667E-1,-2.466168165E0,8.166812658E-1,-2.608173370E0
8.487356667E-1,-1.928104877E0,6.581472754E-1,-2.396408796E0
8.686346667E-1,-1.785248637E0,4.707299769E-1,-2.395231962E0
8.885326667E-1,-1.938697577E0,8.856290579E-2,-2.503531456E0
9.084316667E-1,-2.243934870E0,-3.078733385E-1,-2.318244696E0
9.283306667E-1,-2.321429014E0,-5.547409058E-1,-1.689698815E0
9.482286667E-1,-2.013994932E0,-2.726655602E-1,-1.313197374E0
9.681276667E-1,-1.652612567E0,4.561803341E-1,-1.457106471E0
9.880256667E-1,-1.351515055E0,1.174785376E0,-1.846291065E0
1.007924667E0,-1.031337976E0,1.739318490E0,-2.137240410E0
1.027822667E0,-6.566387415E-1,1.948571920E0,-2.106811047E0
1.047721667E0,-2.177013755E-1,1.885426521E0,-1.796701074E0
1.067619667E0,8.309778571E-2,1.600244284E0,-1.419585228E0
1.087518667E0,8.883961290E-2,1.298523068E0,-1.155091286E0
1.107417667E0,-1.544075310E-1,1.086228371E0,-9.198532104E-1
1.127315667E0,-5.279991627E-1,9.093223810E-1,-7.677333355E-1
1.147214667E0,-8.610936999E-1,7.188788652E-1,-6.289525628E-1
1.167112667E0,-1.020741820E0,4.952146411E-1,-4.315738380E-1
1.187011667E0,-9.960732460E-1,2.749868929E-1,-1.928564310E-1
1.206909667E0,-9.267562032E-1,1.396898031E-1,3.960733488E-2
1.226808667E0,-9.162766933E-1,1.947474480E-1,1.601672918E-1
1.246706667E0,-8.545800447E-1,5.438691974E-1,2.011634111E-1
1.266605667E0,-8.222970963E-1,6.240138412E-1,2.219325602E-1
1.286504667E0,-6.574021578E-1,7.382925749E-1,4.106434286E-1
1.306402667E0,-5.976095796E-1,8.647934198E-1,5.693987012E-1
1.326301667E0,-6.544302106E-1,1.088232636E0,4.255772531E-1
1.346199667E0,-8.226073384E-1,1.291771650E0,2.545059621E-1
1.366098667E0,-9.978668094E-1,1.245956063E0,3.778425455E-1
1.385997667E0,-1.250209570E0,1.104982376E0,5.812115669E-1
1.405895667E0,-1.598654389E0,1.000319362E0,9.577032328E-1
1.425794667E0,-1.934232116E0,9.236025214E-1,1.504904389E0
1.445692667E0,-2.246669054E0,1.072241664E0,1.989568710E0
1.465591667E0,-2.510742903E0,1.386866927E0,2.364428997E0
1.485488417E0,-2.428865433E0,1.590917468E0,2.360587358E0
1.505387417E0,-2.298665524E0,1.673504233E0,2.127220631E0
1.525286417E0,-2.326559305E0,1.400126338E0,1.837839246E0
1.545184417E0,-2.338218689E0,9.406623840E-1,1.605268955E0
1.565083417E0,-1.474910378E0,2.366129160E-1,6.880308390E-1
1.584981417E0,-2.267413288E-1,-1.614905000E-1,-1.839497238E-1
1.604880417E0,-3.017548621E-1,-5.508167744E-1,-6.231545210E-1
1.624779417E0,-8.817365170E-1,-9.632044435E-1,-4.997446239E-1
1.644677417E0,-1.075139403E0,-1.240660548E0,5.768516660E-2
1.664576417E0,-1.054912448E0,-1.103843331E0,1.678819507E-1
1.684474417E0,-9.435944557E-1,-8.203469515E-1,-2.126469314E-1
1.704373417E0,-6.052339077E-1,-5.623028874E-1,-5.012206435E-1
1.724272417E0,-6.178792119E-1,-4.210980833E-1,-4.946433604E-1
1.744170417E0,-5.541146398E-1,-3.985376060E-1,-4.100548029E-1
1.764069417E0,-3.973439038E-1,-2.528502047E-1,-4.149131179E-1
1.783967417E0,-3.685875833E-1,-2.313848138E-1,-4.696345329E-1
1.803866417E0,-3.741003275E-1,-4.745716453E-1,-6.605619192E-1
1.823765417E0,-3.750592470E-1,-6.174798012E-1,-7.826703191E-1
1.843663417E0,-3.271385431E-1,-7.675129771E-1,-8.247098327E-1
1.863562417E0,-1.344846636E-1,-6.746692657E-1,-9.614487886E-1
1.883460417E0,1.261124294E-2,-3.713165820E-1,-1.017686605E0
1.903359417E0,3.769865632E-2,-1.034428105E-1,-7.418670058E-1
1.923258417E0,1.452988237E-1,4.466382042E-2,-5.673966408E-1
1.943156417E0,1.800917387E-1,1.729919463E-1,-4.526703656E-1
1.963055417E0,1.310976297E-1,1.873378754E-1,-4.142481089E-1
1.982954417E0,6.384047866E-2,5.572073907E-2,-3.382312357E-1
2.002852417E0,-4.203422368E-2,-1.108549163E-1,-2.020879835E-1
2.022751417E0,-1.978939474E-1,-1.644579470E-1,-2.185310274E-1
2.042649417E0,-2.066439241E-1,-2.124329358E-1,-1.313193738E-1
2.062548417E0,-2.410133034E-1,-1.459146142E-1,-1.208239645E-1
2.082447417E0,-2.090481222E-1,-1.673378497E-1,-1.040607393E-1
2.102345417E0,-1.945365369E-1,-1.458946466E-1,-6.858403981E-2
2.122244417E0,-1.704400927E-1,-1.043272540E-1,-7.629011571E-2
2.142143417E0,-1.208181232E-1,-1.751132905E-1,-4.609690607E-2
2.162041417E0,-8.397746086E-2,-2.425360084E-1,-3.350559250E-2
2.181940417E0,-4.901998118E-2,-2.264844924E-1,-1.837951392E-1
2.201838417E0,5.656426772E-2,-2.142954767E-1,-2.959880829E-1
2.221737417E0,5.165186897E-2,-1.412646100E-2,-2.494146377E-1
